Trabajo;Desc. Actuación;Desc. Estado HIPPO Trabajo;Contador de plazo legal;Número de Reclamaciones
418117020499.1;P.S.: PRECIADOS, 10 MADRID;PEND.INST.PART;0;
418117020499.9;P.S.: PRECIADOS, 10 MADRID;PEND.INST.PART;0;
418519080021.1;P.S.: ISABEL MENDEZ, 29 MADRID;STOP;0;
418519070337.1;P.S.: SAN JAIME, 2 MADRID;STOP;0;
418114050091.9;P.S.: ALBUFERA, 0000 MADRID;PEND.INST.PART;0;
418419070274.1;P.S.: CARRETAS, 10 MADRID;STOP;0;
418519060328.1;RET.: SIERRA DE GREDOS, 9 MADRID;REPROGRAMAR;0;
918220030088.1;P.S.: VICALVARO A COSLADA, 48 MADRID;STOP;0;
418418100073.1;RET.: MARROQUINA, 34 MADRID;REPROGRAMAR;0;
418116080269.1;P.S.: REINA CRISTINA, 2 MADRID;STOP;0;
418116110751.1;P.S.: CL TERTULIA, 000 MADRID;PEND.INST.PART;0;1
418116110751.9;P.S.: CL TERTULIA, 000 MADRID;PEND.INST.PART;0;1
418117090253.1;P.S.: SUR, 0217 MADRID;REPROGRAMADO;419;2
418518080086.1;P.S.: AMBAR, 17 MADRID;STOP;0;
418518080086.9;P.S.: AMBAR, 17 MADRID;STOP;0;
418519030001.1;P.S.: PUERTO DE ARLABAN, 119 MADRID;STOP;0;
418519030001.9;P.S.: PUERTO DE ARLABAN, 119 MADRID;STOP;0;
418519050095.1;P.S.: RAFAEL DE RIEGO, 26 MADRID;PEND.INST.PART;0;
918220020184.1;RET.: TOLEDO, 76 MADRID;EJECUTADO;0;2
418519040391.9;P.S.: GUADARRAMA, 13 MADRID;PEND.INST.PART;0;1
418519060107.1;RET.: SUR, 207 MADRID;REPROGRAMAR;0;
918220050280.1;P.S.: UZP0204 LOS BERROCALES, 29 MADRID;STOP;0;
418114110054.1;P.S.: PICO ARTILLEROS, 0061 MADRID;STOP;0;
418114110054.9;P.S.: PICO ARTILLEROS, 0061 MADRID;STOP;0;
418114110121.9;P.S.: ARROYO FONTARRON, 0111 MADRID;PEND.INST.PART;0;
418418010194.1;RET.: PICO ARTILLEROS, 55 MADRID;REPROGRAMAR;0;
418418030139.1;RET.: VALDERRIBAS, 19 MADRID;REPROGRAMAR;0;1
418418120122.1;P.S.: MARROQUINA, 0010 MADRID;STOP;0;
418419050175.1;P.S.: INFANTAS, 4 MADRID;STOP;0;
418117070363.1;RET.: RAMON CALABUIG, 41 MADRID;REPROGRAMAR;0;
418117100279.1;RET.: EMILIO RABOSO, 29 MADRID;REPROGRAMADO;0;1
418518010088.1;P.S.: CAÑADA DEL SANTISIMO, 45 MADRID;STOP;0;
918220080095.1;P.S.: IBROS, 3 MADRID;STOP;0;1
918220080096.1;P.S.: NOVECENTO, 6 MADRID;STOP;0;
918220090204.1;RET.: DESENGAÑO, 1 MADRID;REPROGRAMAR;0;1
918220050112.1;P.S.: MONTE IGUELDO, 108 MADRID;STOP;0;
918220070617.9;P.S.: EXTREMADURA, 95 MADRID;REPROGRAMAR;39;1
918220110127.1;P.S.: GUADARRAMA, 22 MADRID;STOP;0;
918220030047.1;P.S.: CIUDAD DE BARCELONA, 2 MADRID;STOP;0;3
918220110380.1;P.S.: CONCEJAL VICTORINO GRANIZ, 165 MADRID;STOP;0;6
918220110380.9;P.S.: CONCEJAL VICTORINO GRANIZ, 165 MADRID;STOP;0;6
418419030050.1;P.S.: CANTERAS DE TILLI, 1 MADRID;STOP;0;
918220110428.1;P.S.: EMBAJADORES, 232 MADRID;STOP;0;5
918220110383.1;RET.: CACERES, 7 MADRID;REPROGRAMAR;0;
918220070331.1;P.S.: UZP0103 ENSANCHE VALLECAS, 4 MADRID;STOP;0;
918220090330.1;RET.: ENTREARROYOS, 10 MADRID;REPROGRAMAR;0;1
418519070217.1;P.S.: SIERRA DE MEIRA, 32 MADRID;PEND.INST.PART;0;
918221030337.1;RET.: GRAN VIA, 20 MADRID;REPROGRAMADO;0;4
418519020194.1;P.S.: UZP0204 LOS BERROCALES, 29 MADRID;EJECUTADO;63;
918221020049.1;P.S.: DOCTOR GARCIA TAPIA, 76 MADRID;STOP;0;2
918221030163.2;P.S.: PIRITA, 37 MADRID;STOP;0;4
418419090227.1;P.S.: UZP0203 LOS AHIJONES, 22 MADRID;PEND.INST.PART;0;
918221070062.1;P.S.: BUENOS AIRES, 17 MADRID;STOP;0;1
918221030030.1;RET.: RODAS, 10 MADRID;REPROGRAMADO;0;10
918221090135.1;P.S.: EVARISTO SAN MIGUEL, 13 MADRID;STOP;0;2
918221060357.1;P.S.: DE MORATALAZ, 21 MADRID;STOP;0;2
918120080284.1;P.S.: LEALTAD, 4 MADRID;STOP;0;9
918221020062.2;P.S.: HEXAGONOS, 4 MADRID;REPROGRAMAR;696;3
918221070082.1;P.S.: CARIDAD, 28 MADRID;STOP;0;
918221080059.2;P.S.: FERENC PUSKAS, 81 MADRID;REPROGRAMAR;27;10
918221070021.1;P.S.: ALBUFERA, 319 MADRID;STOP;0;9
918222030061.1;P.S.: JUAN DE URBIETA, 0009 MADRID;PEND.INST.PART;0;
918222030441.1;P.S.: SANTA JULIA, 46 MADRID;EJECUTADO;26;
918222030479.1;P.S.: FRANCISCO IGLESIAS, 55 MADRID;PEND.INST.PART;0;
918221110399.1;P.S.: CERRO MILANO, 541 MADRID;REPROGRAMAR;31;3
918222030442.1;P.S.: SAXOFON, 75 MADRID;STOP;0;12
918220110204.1;P.S.: ANCORA, 0037 MADRID;REPROGRAMADO;4;1
918222010424.1;P.S.: VILLAVERDE A VALLECAS, 3500 MADRID;REPROGRAMADO;319;9
918220030051.1;P.S.: DIALOGO, 79 MADRID;REPROGRAMAR;114;1
918220030051.9;P.S.: DIALOGO, 79 MADRID;REPROGRAMAR;114;1
918222050038.1;RET.: ANTONIO LOPEZ, 245 MADRID;REPROGRAMAR;0;5
918221080058.2;P.S.: FERENC PUSKAS, 41 MADRID;REPROGRAMAR;27;11
918221050394.1;P.S.: MADRID A RIVAS JARAMA, 24 MADRID;STOP;0;4
